Rung,Arm,n_test,AUROC,AUPRC,BEST_F1,Onset MAE (h),LoS MAE (h)
1,LogReg (raw),4686,"0.754 [0.743, 0.764]","0.452 [0.436, 0.472]","0.527 [0.517, 0.542]","32.9 [31.7, 34.0]","47.7 [46.6, 48.7]"
2,LogReg (raw + QA),4686,"0.754 [0.743, 0.764]","0.450 [0.434, 0.469]","0.530 [0.519, 0.545]","33.1 [32.0, 34.3]","47.7 [46.6, 48.7]"
3,ss-STraTS (raw),4686,"0.772 [0.762, 0.781]","0.472 [0.456, 0.493]","0.535 [0.525, 0.551]","33.2 [32.2, 34.3]","46.4 [45.3, 47.4]"
4,ss-STraTS (raw + QA),4686,"0.771 [0.762, 0.781]","0.471 [0.455, 0.491]","0.532 [0.523, 0.547]","32.8 [31.8, 34.0]","47.7 [46.6, 48.7]"
5,INTERVenE-Enc (σ-bins),4686,"0.755 [0.744, 0.765]","0.454 [0.438, 0.473]","0.518 [0.508, 0.534]","33.3 [32.3, 34.4]","45.1 [44.1, 46.1]"
6,INTERVenE-Enc (KB),4686,"0.805 [0.795, 0.813]","0.527 [0.511, 0.548]","0.561 [0.553, 0.578]","30.8 [29.7, 31.8]","45.9 [44.8, 46.9]"
7,INTERVenE-Enc (KB + QA),4686,"0.802 [0.793, 0.811]","0.535 [0.518, 0.554]","0.557 [0.547, 0.573]","30.9 [29.8, 31.9]","46.0 [44.9, 47.0]"
