arm,label,onset_mae_h,onset_mae_h_lo,onset_mae_h_hi,los_mae_h,los_mae_h_lo,los_mae_h_hi
logreg,LogReg (raw),32.90616752923606,31.74521714083656,34.03394066457136,47.66232394696887,46.64983165669746,48.692669696397395
logreg_qa,LogReg (raw + QA),33.145143178776294,32.01458082062687,34.269948805469504,47.66272433362125,46.62874661612165,48.68613730539135
strats,ss-STraTS (raw),33.19572180466778,32.165401886491345,34.285140354579134,46.35392217617489,45.336654546763405,47.42357696040037
strats_qa,ss-STraTS (raw + QA),32.84809654056025,31.7656285480017,33.993488286462345,47.686168552141126,46.64988034101698,48.72862755856037
intervene_std,INTERVenE-Enc (σ-bins),33.325099299954864,32.26891144135082,34.40272353117141,45.1132061255587,44.084129804936744,46.10803855763512
intervene_kb,INTERVenE-Enc (KB),30.782549198399646,29.721443888965467,31.79841876760768,45.87675318589651,44.83880198144327,46.93103198362958
intervene_kb_qa,INTERVenE-Enc (KB + QA),30.910933540247285,29.824552557928484,31.926526342053325,45.97823954479235,44.91400187349811,46.999752919114634
