Model,Metric,no QA,with QA,delta
LogReg,AUROC,0.7536540924603135,0.7538043498642121,0.00015025740389862374
LogReg,AUPRC,0.452192168736372,0.4500163295778151,-0.0021758391585569026
LogReg,BEST_F1,0.52711172436518,0.529999990944547,0.002888266579367027
ss-STraTS,AUROC,0.77180898958194,0.7714291895503617,-0.00037980003157833675
ss-STraTS,AUPRC,0.4724604879318627,0.4712962843560055,-0.00116420357585717
ss-STraTS,BEST_F1,0.5346377108849095,0.5317185418837556,-0.002919169001153965
INTERVenE-Enc (KB),AUROC,0.8046733634159788,0.8022344985783851,-0.0024388648375937017
INTERVenE-Enc (KB),AUPRC,0.5273557725518017,0.5346254367470279,0.007269664195226233
INTERVenE-Enc (KB),BEST_F1,0.5610672520527422,0.556814998590558,-0.0042522534621841634
