,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
MEAL_Breakfast__count,-0.03810918,-0.013449971,-0.054769333,-0.122408256,-0.077134654,-0.030798633,-0.108598724,-0.104574785
MEAL_Dinner__count,-0.0056110523,-0.015955634,-0.082989335,-0.117570214,-0.10676965,-0.053427868,-0.08685161,-0.06705733
MEAL_Lunch__count,-0.038630974,-0.0014144281,-0.089069165,-0.12490339,-0.12334531,-0.04053484,-0.08341884,-0.1131311
MEAL_Night-Snack__count,-0.04225926,-0.0020692826,-0.080828816,-0.11031242,-0.0846337,-0.03854901,-0.06908739,-0.10744179
METFORMIN_HOME_BITZUA__count,-0.034284156,-0.043037035,0.005004835,-0.059513055,0.03170451,0.004921042,-0.012061182,0.015829077
METFORMIN_HOSPITAL_BITZUA__count,0.018527957,0.028818753,0.046021655,0.10929367,0.012975148,0.030178871,0.03385791,0.1283823
NEUTROPHILS_MEASURE__count,-0.10319179,-0.096969515,-0.006403512,-0.040421348,0.07796581,-0.076304935,-0.008386071,-0.044647396
PH_MEASURE__count,-0.035793725,0.09819667,0.09102888,0.11364811,0.11037336,0.0061449436,0.00033001683,0.120576724
PLT_MEASURE__count,-0.00026683396,-0.08542668,-0.056576196,0.1239247,0.09449857,-0.011230289,-0.10052049,0.097485624
POTASSIUM_MEASURE__count,-0.05082038,-0.0022608333,-0.043171503,-0.07311339,0.13601762,-0.038940884,-0.021621658,-0.09560231
SEVERE_HYPERGLYCEMIA_EVENT__count,-0.04354445,0.02320897,-0.017975986,-0.029857267,0.06547774,0.020084294,0.007766371,0.040163428
SEVERE_HYPOGLYCEMIA_EVENT__count,0.014070428,0.038372386,-0.024148785,-0.06842718,0.0006490067,-0.0129585145,0.0023681053,-0.02864811
SGLT2_HOME_BITZUA__count,-0.007028671,0.16924341,0.03772673,-0.034975782,-0.03795833,-0.0074114827,0.078251384,0.0047322707
SGLT2_HOSPITAL_BITZUA__count,0.027726782,0.13159755,0.012631743,0.100054555,-0.034633026,-0.020318825,-0.051585674,0.048105583
SODIUM_MEASURE__count,-0.00961987,0.05303183,-0.039169412,-0.088307925,0.09910524,-0.028686978,-0.047820836,-0.06828621
STEROIDS_IV_BITZUA__count,0.060280513,-0.1511443,0.031744294,0.031556796,0.009252293,-0.14066808,0.04590005,0.02765126
STEROIDS_PO_BITZUA__count,0.014491715,0.08994693,0.0004031021,-0.04910533,-0.12389282,-0.037814513,0.0019990206,-0.043337874
TROPONIN_MEASURE__count,0.077295355,-0.013087219,-0.015911615,0.06388012,0.12300051,-0.06252728,-0.019173127,-0.005013284
UREA_MEASURE__count,0.027507305,0.018517168,0.052237842,-0.01637391,-0.13191015,-0.0009611364,-0.048171546,0.008507969
URINE_CULTURE__count,-0.0528419,-0.006631753,-0.046432935,-0.0784452,-0.02415934,-0.05448345,-0.0023883325,0.00922405
WEIGHT_MEASURE__count,0.07662098,0.07799923,0.008917585,-0.03998822,-0.03653557,0.001491924,0.013777963,0.03104153
ADMISSION__mean,-0.0067972783,0.023659796,-0.0037512318,-0.011551762,-0.024551392,0.010300072,0.011773298,0.017360626
ALANINE-AMINOTRANSFERASE_MEASURE__mean,-0.012362257,-0.03069161,-0.022560097,-0.00040603758,0.031634986,0.013689174,-0.023876281,-0.02864866
ALBUMIN_SERUM_MEASURE__mean,0.018791994,-0.04494393,0.014004181,-0.047192104,-0.009805564,-0.0047675874,0.013913315,-0.047624413
ANTIBIOTIC_IV_BITZUA__mean,0.014235942,-0.036852606,-0.020764332,-0.06030081,0.01756483,0.031769212,0.01982486,-0.0035553754
ANTIBIOTIC_PO_BITZUA__mean,0.021605372,0.004415327,0.002077251,0.010686806,-0.035904195,-0.017542988,-0.005025251,-0.007002755
